Year,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Qty Unit,Qty,Trade Value (US$)
2011.0,Import,28.0,Antigua and Barbuda,ATG,0.0,World,WLD,270900.0,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,15.0,523.0
2011.0,Import,28.0,Antigua and Barbuda,ATG,842.0,USA,USA,270900.0,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,15.0,523.0
2011.0,Import,32.0,Argentina,ARG,0.0,World,WLD,270900.0,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,804.0,5050.0
2011.0,Export,32.0,Argentina,ARG,0.0,World,WLD,270900.0,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,3023702118.0,2182223595.0
2011.0,Import,32.0,Argentina,ARG,24.0,Angola,AGO,270900.0,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,35.0,595.0
2011.0,Import,32.0,Argentina,ARG,76.0,Brazil,BRA,270900.0,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,16.0,1266.0
2011.0,Export,32.0,Argentina,ARG,76.0,Brazil,BRA,270900.0,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,209076496.0,169565732.0
2011.0,Export,32.0,Argentina,ARG,152.0,Chile,CHL,270900.0,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,1029503090.0,717117739.0
2011.0,Export,32.0,Argentina,ARG,156.0,China,CHN,270900.0,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,588572506.0,422567030.0
2011.0,Import,32.0,Argentina,ARG,381.0,Italy,ITA,270900.0,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,54.0,587.0
2011.0,Import,32.0,Argentina,ARG,604.0,Peru,PER,270900.0,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,10.0,43.0
2011.0,Import,32.0,Argentina,ARG,842.0,USA,USA,270900.0,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,689.0,2558.0
