Year,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Qty Unit,Qty,Trade Value (US$)
,,,,,,,,,,,,
2012.0,Import,28.0,Antigua and Barbuda,ATG,0.0,World,WLD,270900.0,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,2.0,35.0
2012.0,Import,28.0,Antigua and Barbuda,ATG,842.0,USA,USA,270900.0,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,2.0,35.0
2012.0,Import,32.0,Argentina,ARG,0.0,World,WLD,270900.0,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,178420203.0,130337615.0
2012.0,Export,32.0,Argentina,ARG,0.0,World,WLD,270900.0,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,3510137342.0,2611223721.0
2012.0,Import,32.0,Argentina,ARG,68.0,Bolivia (Plurinational State of),BOL,270900.0,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,178418825.0,130332903.0
2012.0,Export,32.0,Argentina,ARG,76.0,Brazil,BRA,270900.0,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,58501010.0,47011676.0
2012.0,Export,32.0,Argentina,ARG,152.0,Chile,CHL,270900.0,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,1379998219.0,992803715.0
2012.0,Export,32.0,Argentina,ARG,156.0,China,CHN,270900.0,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,869169717.0,650539147.0
2012.0,Export,32.0,Argentina,ARG,662.0,Saint Lucia,LCA,270900.0,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,144368959.0,119775421.0
2012.0,Import,32.0,Argentina,ARG,842.0,USA,USA,270900.0,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,1378.0,4712.0
2012.0,Export,32.0,Argentina,ARG,842.0,USA,USA,270900.0,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,1058099437.0,801093762.0
,,,,,,,,,,,,
2012.0,Import,44.0,Bahamas,BHS,0.0,World,WLD,270900.0,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,230000.0,4489.0
