Year,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Qty Unit,Qty,Trade Value (US$)
2013,Import,32,Argentina,ARG,0,World,WLD,270900,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,294449590.0,245437905
2013,Export,32,Argentina,ARG,0,World,WLD,270900,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,2432547814.0,1736775154
2013,Import,32,Argentina,ARG,68,Bolivia (Plurinational State of),BOL,270900,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,294449504.0,245436748
2013,Export,32,Argentina,ARG,76,Brazil,BRA,270900,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,64712494.0,44318992
2013,Export,32,Argentina,ARG,152,Chile,CHL,270900,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,727821261.0,514010304
2013,Export,32,Argentina,ARG,156,China,CHN,270900,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,987502030.0,712815750
2013,Import,32,Argentina,ARG,842,USA,USA,270900,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,86.0,1157
2013,Export,32,Argentina,ARG,842,USA,USA,270900,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,652512029.0,465630108
2013,Import,44,Bahamas,BHS,0,World,WLD,270900,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,20000.0,1438
2013,Import,44,Bahamas,BHS,842,USA,USA,270900,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,20000.0,1438
2014,Import,32,Argentina,ARG,0,World,WLD,270900,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,418402681.0,317708845
2014,Export,32,Argentina,ARG,0,World,WLD,270900,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,2425479290.0,1619632669
2014,Export,32,Argentina,ARG,44,Bahamas,BHS,270900,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,285817000.0,177561299
2014,Import,32,Argentina,ARG,68,Bolivia (Plurinational State of),BOL,270900,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,290035800.0,239505380
2014,Export,32,Argentina,ARG,76,Brazil,BRA,270900,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,69491100.0,50147040
2014,Export,32,Argentina,ARG,152,Chile,CHL,270900,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,101647690.0,67152303
2014,Export,32,Argentina,ARG,156,China,CHN,270900,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,178494500.0,128011246
2014,Import,32,Argentina,ARG,566,Nigeria,NGA,270900,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,128366000.0,78202744
2014,Import,32,Argentina,ARG,604,Peru,PER,270900,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,879.0,667
2014,Export,32,Argentina,ARG,699,India,IND,270900,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,299819000.0,204400081
2014,Import,32,Argentina,ARG,842,USA,USA,270900,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,1.0,52
2014,Export,32,Argentina,ARG,842,USA,USA,270900,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,1490210000.0,992360697
2014,Import,44,Bahamas,BHS,0,World,WLD,270900,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,92000.0,6582
2014,Import,44,Bahamas,BHS,842,USA,USA,270900,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,92000.0,6582
2015,Import,32,Argentina,ARG,0,World,WLD,270900,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,831210368.0,355737481
2015,Export,32,Argentina,ARG,0,World,WLD,270900,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,2122011036.0,670929750
2015,Import,32,Argentina,ARG,68,Bolivia (Plurinational State of),BOL,270900,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,51698400.0,22423693
2015,Export,32,Argentina,ARG,76,Brazil,BRA,270900,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,71613200.0,18394956
2015,Export,32,Argentina,ARG,152,Chile,CHL,270900,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,28936730.0,8966883
2015,Export,32,Argentina,ARG,156,China,CHN,270900,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,580217000.0,169792796
2015,Export,32,Argentina,ARG,528,Netherlands,NLD,270900,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,6.0,5
2015,Export,32,Argentina,ARG,531,Curaçao,CUW,270900,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,260856300.0,104118215
2015,Import,32,Argentina,ARG,566,Nigeria,NGA,270900,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,779511000.0,333313373
2015,Export,32,Argentina,ARG,699,India,IND,270900,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,227999800.0,71891300
2015,Import,32,Argentina,ARG,842,USA,USA,270900,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,968.0,414
2015,Export,32,Argentina,ARG,842,USA,USA,270900,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,952388000.0,297765593
2015,Import,44,Bahamas,BHS,0,World,WLD,270900,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,4406000.0,275305
2015,Export,44,Bahamas,BHS,0,World,WLD,270900,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,110000.0,4317
2015,Re-Export,44,Bahamas,BHS,0,World,WLD,270900,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,110000.0,4317
2015,Import,44,Bahamas,BHS,699,India,IND,270900,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,3958000.0,257893
2015,Import,44,Bahamas,BHS,842,USA,USA,270900,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,448000.0,17412
