Year,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Qty Unit,Qty,Trade Value (US$)
2018.0,Import,28.0,Antigua and Barbuda,ATG,0.0,World,WLD,270900.0,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,65.0,705.0
2018.0,Import,28.0,Antigua and Barbuda,ATG,92.0,Br. Virgin Isds,VGB,270900.0,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,26.0,286.0
2018.0,Import,28.0,Antigua and Barbuda,ATG,826.0,United Kingdom,GBR,270900.0,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,39.0,418.0
2018.0,Import,32.0,Argentina,ARG,0.0,World,WLD,270900.0,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,338582151.0,181108939.0
2018.0,Export,32.0,Argentina,ARG,0.0,World,WLD,270900.0,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,3103752000.0,1474856038.0
2018.0,Export,32.0,Argentina,ARG,152.0,Chile,CHL,270900.0,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,124705000.0,61727324.0
2018.0,Export,32.0,Argentina,ARG,156.0,China,CHN,270900.0,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,1273490000.0,610357458.0
2018.0,Export,32.0,Argentina,ARG,528.0,Netherlands,NLD,270900.0,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,146887000.0,79715443.0
2018.0,Import,32.0,Argentina,ARG,566.0,Nigeria,NGA,270900.0,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,250994000.0,134911457.0
2018.0,Import,32.0,Argentina,ARG,842.0,USA,USA,270900.0,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,87588151.0,46197482.0
2018.0,Export,32.0,Argentina,ARG,842.0,USA,USA,270900.0,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,1558670000.0,723055812.0
2018.0,Import,44.0,Bahamas,BHS,0.0,World,WLD,270900.0,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,22862.0,13566.0
2018.0,Import,44.0,Bahamas,BHS,842.0,USA,USA,270900.0,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,22862.0,13566.0
2019.0,Import,28.0,Antigua and Barbuda,ATG,0.0,World,WLD,270900.0,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,135.0,580.0
2019.0,Import,28.0,Antigua and Barbuda,ATG,842.0,USA,USA,270900.0,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,135.0,580.0
2019.0,Export,32.0,Argentina,ARG,0.0,World,WLD,270900.0,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,2615804000.0,1119911767.0
2019.0,Export,32.0,Argentina,ARG,152.0,Chile,CHL,270900.0,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,230165000.0,91886767.0
2019.0,Export,32.0,Argentina,ARG,528.0,Netherlands,NLD,270900.0,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,383191000.0,164636256.0
2019.0,Export,32.0,Argentina,ARG,784.0,United Arab Emirates,ARE,270900.0,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,419708000.0,176797409.0
2019.0,Export,32.0,Argentina,ARG,842.0,USA,USA,270900.0,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,1582740000.0,686591332.0
2019.0,Export,533.0,Aruba,ABW,0.0,World,WLD,270900.0,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,4.0,1.0
2019.0,Export,533.0,Aruba,ABW,591.0,Panama,PAN,270900.0,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,4.0,1.0
2020.0,Import,32.0,Argentina,ARG,0.0,World,WLD,270900.0,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,1.0,39.0
2020.0,Export,32.0,Argentina,ARG,0.0,World,WLD,270900.0,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,2377238700.0,570359836.0
2020.0,Export,32.0,Argentina,ARG,152.0,Chile,CHL,270900.0,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,366384000.0,85549368.0
2020.0,Export,32.0,Argentina,ARG,251.0,France,FRA,270900.0,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,110678000.0,40812563.0
2020.0,Export,32.0,Argentina,ARG,528.0,Netherlands,NLD,270900.0,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,636470000.0,152308060.0
2020.0,Export,32.0,Argentina,ARG,702.0,Singapore,SGP,270900.0,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,71176700.0,20338245.0
2020.0,Import,32.0,Argentina,ARG,842.0,USA,USA,270900.0,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,1.0,39.0
2020.0,Export,32.0,Argentina,ARG,842.0,USA,USA,270900.0,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,1192530000.0,271351598.0
2020.0,Export,533.0,Aruba,ABW,0.0,World,WLD,270900.0,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,1.0,2.0
2020.0,Export,533.0,Aruba,ABW,842.0,USA,USA,270900.0,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,1.0,2.0
2021.0,Export,32.0,Argentina,ARG,0.0,World,WLD,270900.0,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,2277713900.0,1161542098.0
2021.0,Export,32.0,Argentina,ARG,152.0,Chile,CHL,270900.0,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,48849200.0,23571397.0
2021.0,Export,32.0,Argentina,ARG,528.0,Netherlands,NLD,270900.0,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,608420100.0,288948661.0
2021.0,Export,32.0,Argentina,ARG,784.0,United Arab Emirates,ARE,270900.0,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,146002000.0,75954865.0
2021.0,Export,32.0,Argentina,ARG,842.0,USA,USA,270900.0,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,1474442600.0,773067173.0
2021.0,Export,533.0,Aruba,ABW,0.0,World,WLD,270900.0,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,71.0,48.0
2021.0,Export,533.0,Aruba,ABW,528.0,Netherlands,NLD,270900.0,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,70.0,40.0
2021.0,Export,533.0,Aruba,ABW,842.0,USA,USA,270900.0,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,1.0,8.0
2018.0,Export,52.0,Barbados,BRB,0.0,World,WLD,270900.0,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,24816640.0,11098570.0
2018.0,Export,52.0,Barbados,BRB,780.0,Trinidad and Tobago,TTO,270900.0,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,24816640.0,11098570.0
2018.0,Export,68.0,Bolivia (Plurinational State of),BOL,0.0,World,WLD,270900.0,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,139964500.0,72118813.0
2018.0,Export,68.0,Bolivia (Plurinational State of),BOL,662.0,Saint Lucia,LCA,270900.0,"Petroleum oils, oils from bituminous minerals, crude",Weight in kilograms,65852000.0,35195834.0
